link_id,from_node_id,to_node_id,facility_type,dir_flag,directed_route_id,link_type,link_type_name,length,lanes,capacity,free_speed,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_penalty1,geometry,VDF_allowed_uses1,agency_name,stop_sequence,directed_service_id
1000001,1500001,1500007,bus,1,1340.2,1,service_links,2853.5218198857583,1,999999,17.12113091931455,0.0,10.0,999999,0.15,4,0,"LINESTRING (-96.72551594000001 43.544869379999994, -96.75496843 43.53063202)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Sioux Area Metro,1,1340.2:1;11;17;20;25;31;39
1000002,1500007,1500003,bus,1,1340.2,1,service_links,1915.6149172224045,1,999999,19.156149172224044,0.0,6.0,999999,0.15,4,0,"LINESTRING (-96.75496843 43.53063202, -96.76126285000001 43.514020069999994)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Sioux Area Metro,11,1340.2:1;11;17;20;25;31;39
1000003,1500003,1500004,bus,1,1340.2,1,service_links,1331.1326608554837,1,999999,9.983494956416127,0.0,8.0,999999,0.15,4,0,"LINESTRING (-96.76126285000001 43.514020069999994, -96.77159721000001 43.50468562)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Sioux Area Metro,17,1340.2:1;11;17;20;25;31;39
1000004,1500004,1500005,bus,1,1340.2,1,service_links,1340.0763518292886,1,999999,4.23182005840828,0.0,19.0,999999,0.15,4,0,"LINESTRING (-96.77159721000001 43.50468562, -96.76018883 43.513448049999994)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Sioux Area Metro,20,1340.2:1;11;17;20;25;31;39
1000005,1500005,1500006,bus,1,1340.2,1,service_links,1998.3188432978357,1,999999,23.979826119574025,0.0,5.0,999999,0.15,4,0,"LINESTRING (-96.76018883 43.513448049999994, -96.75488842 43.53100358)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Sioux Area Metro,25,1340.2:1;11;17;20;25;31;39
1000006,1500006,1500001,bus,1,1340.2,1,service_links,2825.3960084410933,1,999999,15.411250955133236,0.0,11.0,999999,0.15,4,0,"LINESTRING (-96.75488842 43.53100358, -96.72551594000001 43.544869379999994)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Sioux Area Metro,31,1340.2:1;11;17;20;25;31;39
1000007,1500002,1500002,bus,1,1340.2,1,service_links,0.0,2,999999,0.0,0.0,54.0,1999998,0.15,4,0,"LINESTRING (-96.72551594000001 43.544869379999994, -96.72551594000001 43.544869379999994)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Sioux Area Metro,1,1340.2:1;39
1000008,1500009,1500009,bus,1,1341.2,1,service_links,0.0,2,999999,0.0,0.0,54.0,1999998,0.15,4,0,"LINESTRING (-96.72551594000001 43.544869379999994, -96.72551594000001 43.544869379999994)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Sioux Area Metro,1,1341.2:1;45
1000009,1500010,1500012,bus,1,1341.2,1,service_links,1791.6345489709083,2,999999,13.437259117281812,0.0,8.0,1999998,0.15,4,0,"LINESTRING (-96.72551594000001 43.544869379999994, -96.74141730000001 43.53361131)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Sioux Area Metro,1,1341.2:1;8;16;22;29;37;45
1000010,1500012,1500008,bus,1,1341.2,1,service_links,2262.069318095466,2,999999,19.38916558367542,0.0,7.0,1999998,0.15,4,0,"LINESTRING (-96.74141730000001 43.53361131, -96.7512743986509 43.51456489249669)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Sioux Area Metro,8,1341.2:1;8;16;22;29;37;45
1000011,1500008,1500011,bus,1,1341.2,1,service_links,1973.0344385016176,2,999999,9.865172192508089,0.0,12.0,1999998,0.15,4,0,"LINESTRING (-96.7512743986509 43.51456489249669, -96.77159721000001 43.50468562)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Sioux Area Metro,16,1341.2:1;8;16;22;29;37;45
1000012,1500011,1500013,bus,1,1341.2,1,service_links,2021.4775975965797,2,999999,7.134626815046753,0.0,17.0,1999998,0.15,4,0,"LINESTRING (-96.77159721000001 43.50468562, -96.75107796 43.51512748)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Sioux Area Metro,22,1341.2:1;8;16;22;29;37;45
1000013,1500013,1500014,bus,1,1341.2,1,service_links,2107.567555015499,2,999999,21.07567555015499,0.0,6.0,1999998,0.15,4,0,"LINESTRING (-96.75107796 43.51512748, -96.74127857 43.53269905)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Sioux Area Metro,29,1341.2:1;8;16;22;29;37;45
1000014,1500014,1500010,bus,1,1341.2,1,service_links,1856.2591109340215,2,999999,12.375060739560142,0.0,9.0,1999998,0.15,4,0,"LINESTRING (-96.74127857 43.53269905, -96.72551594000001 43.544869379999994)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Sioux Area Metro,37,1341.2:1;8;16;22;29;37;45
1000015,1500015,1500015,bus,1,1342.2,1,service_links,0.0,2,999999,0.0,0.0,54.0,1999998,0.15,4,0,"LINESTRING (-96.72551594000001 43.544869379999994, -96.72551594000001 43.544869379999994)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Sioux Area Metro,1,1342.2:1;42
1000016,1500016,1500018,bus,1,1342.2,1,service_links,2620.1247420093314,3,999999,22.458212074365697,0.0,7.0,2999997,0.15,4,0,"LINESTRING (-96.72551594000001 43.544869379999994, -96.73150022 43.52170887)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Sioux Area Metro,1,1342.2:1;8;16;20;27;34;42
1000017,1500018,1500019,bus,1,1342.2,1,service_links,2494.9870344388296,3,999999,18.712402758291223,0.0,8.0,2999997,0.15,4,0,"LINESTRING (-96.73150022 43.52170887, -96.76094281 43.514808099999996)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Sioux Area Metro,8,1342.2:1;8;16;20;27;34;42
1000018,1500019,1500017,bus,1,1342.2,1,service_links,1416.0398923681055,3,999999,10.620299192760791,0.0,8.0,2999997,0.15,4,0,"LINESTRING (-96.76094281 43.514808099999996, -96.77159721000001 43.50468562)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Sioux Area Metro,16,1342.2:1;8;16;20;27;34;42
1000019,1500017,1500020,bus,1,1342.2,1,service_links,1375.6696991496133,3,999999,4.585565663832044,0.0,18.0,2999997,0.15,4,0,"LINESTRING (-96.77159721000001 43.50468562, -96.76142772 43.51461843)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Sioux Area Metro,20,1342.2:1;8;16;20;27;34;42
1000020,1500020,1500021,bus,1,1342.2,1,service_links,2596.199616504467,3,999999,17.307997443363114,0.0,9.0,2999997,0.15,4,0,"LINESTRING (-96.76142772 43.51461843, -96.73126238 43.52278231)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Sioux Area Metro,27,1342.2:1;8;16;20;27;34;42
